18783,1624.87,-1671.99,173.96,0.00,0.00,0.00
18783,1604.88,-1671.99,173.96,0.00,0.00,0.00
18783,1584.94,-1671.99,173.96,0.00,0.00,0.00
18783,1584.91,-1691.99,173.96,0.00,0.00,0.00
18783,1604.89,-1692.01,173.96,0.00,0.00,0.00
18783,1624.87,-1691.97,173.96,0.00,0.00,0.00
18783,1624.87,-1711.97,173.96,0.00,0.00,0.00
18783,1604.89,-1711.97,173.96,0.00,0.00,0.00
18783,1584.91,-1711.96,173.96,0.00,0.00,0.00
987,1575.75,-1674.11,176.44,0.00,0.00,90.00
987,1575.75,-1686.05,176.44,0.00,0.00,90.00
987,1575.75,-1697.99,176.44,0.00,0.00,90.00
987,1575.75,-1709.92,176.44,0.00,0.00,90.00
987,1575.75,-1721.84,176.44,0.00,0.00,90.00
987,1587.76,-1721.84,176.44,0.00,0.00,180.00
987,1599.71,-1721.84,176.44,0.00,0.00,180.00
987,1611.67,-1721.84,176.44,0.00,0.00,180.00
987,1623.62,-1721.84,176.44,0.00,0.00,180.00
987,1634.74,-1721.84,176.44,0.00,0.00,180.00
987,1634.29,-1709.78,176.44,0.00,0.00,270.00
987,1634.29,-1697.85,176.44,0.00,0.00,270.00
987,1634.29,-1685.92,176.44,0.00,0.00,270.00
987,1634.29,-1673.98,176.44,0.00,0.00,270.00
987,1634.29,-1662.04,176.44,0.00,0.00,270.00
987,1622.28,-1662.58,176.44,0.00,0.00,0.00
987,1610.29,-1662.58,176.44,0.00,0.00,0.00
987,1575.66,-1662.58,176.44,0.00,0.00,0.00
987,1587.62,-1662.58,176.44,0.00,0.00,0.00
18822,1604.86,-1639.69,188.32,180.00,113.00,90.00
18822,1604.82,-1596.69,210.85,0.00,69.00,90.00
18809,1604.87,-1548.39,217.17,0.00,90.00,90.00
18809,1604.83,-1498.42,217.17,0.00,90.00,90.00
18809,1604.85,-1448.62,217.17,0.00,90.00,90.00
18809,1604.85,-1398.75,217.17,0.00,90.00,90.00
18822,1598.07,-1350.28,217.17,90.00,112.00,90.00
18822,1565.27,-1316.80,217.17,90.00,112.00,134.82
18822,1518.36,-1315.96,217.17,90.00,112.00,179.15
18822,1484.43,-1348.29,217.17,90.00,112.00,224.05
18822,1483.19,-1395.10,217.17,90.00,112.00,269.04
18822,1515.47,-1429.16,217.17,90.00,112.00,313.86
18822,1562.23,-1433.13,222.29,140.00,112.00,358.36
18822,1598.05,-1413.95,245.67,140.00,149.00,0.62
18822,1603.68,-1373.51,268.81,105.00,149.00,51.00
18822,1573.95,-1339.39,279.10,105.00,149.00,94.83
18822,1528.92,-1335.62,289.80,105.00,149.00,139.22
18822,1493.96,-1363.65,300.00,105.00,149.00,181.91
18822,1488.61,-1408.39,310.55,105.00,149.00,228.08
18822,1517.36,-1442.99,320.81,105.00,149.00,275.16
18822,1563.27,-1446.25,331.47,105.00,149.00,320.03
18822,1596.84,-1416.48,341.88,105.00,149.00,6.75
18813,1607.74,-1360.94,313.25,0.00,0.00,90.00
18826,1617.96,-1348.69,278.01,0.00,-90.00,50.56
18826,1638.18,-1324.06,299.08,0.00,90.00,50.56
18824,1656.31,-1301.86,269.21,0.00,-47.00,51.00
18824,1690.29,-1278.68,255.48,84.00,-47.00,323.68
18826,1721.81,-1288.09,238.48,180.00,-178.00,322.89
